# gt3-porsche-911-2024
--- baseline ---
  captured: 2026-05-31 11:53
  "R": [8525,7750,7850,7950,8050,8150,8250,8350,8450,8450,8350,8250,8150,8050,7950,7850,7750]
  "N": [8525,7750,7850,7950,8050,8150,8250,8350,8450,8450,8350,8250,8150,8050,7950,7850,7750]
  "1": [8525,7750,7850,7950,8050,8150,8250,8350,8450,8450,8350,8250,8150,8050,7950,7850,7750]
  "2": [8525,7750,7850,7950,8050,8150,8250,8350,8450,8450,8350,8250,8150,8050,7950,7850,7750]
  "3": [8525,7750,7850,7950,8050,8150,8250,8350,8450,8450,8350,8250,8150,8050,7950,7850,7750]
  "4": [8525,7750,7850,7950,8050,8150,8250,8350,8450,8450,8350,8250,8150,8050,7950,7850,7750]
  "5": [8525,7750,7850,7950,8050,8150,8250,8350,8450,8450,8350,8250,8150,8050,7950,7850,7750]
  "6": [8525,7750,7850,7950,8050,8150,8250,8350,8450,8450,8350,8250,8150,8050,7950,7850,7750]
  "7": [8525,7750,7850,7950,8050,8150,8250,8350,8450,8450,8350,8250,8150,8050,7950,7850,7750]
  "8": [8525,7750,7850,7950,8050,8150,8250,8350,8450,8450,8350,8250,8150,8050,7950,7850,7750]

  "R": [1.0000,0.9091,0.9208,0.9326,0.9443,0.9560,0.9677,0.9795,0.9912,0.9912,0.9795,0.9677,0.9560,0.9443,0.9326,0.9208,0.9091]
  "N": [1.0000,0.9091,0.9208,0.9326,0.9443,0.9560,0.9677,0.9795,0.9912,0.9912,0.9795,0.9677,0.9560,0.9443,0.9326,0.9208,0.9091]
  "1": [1.0000,0.9091,0.9208,0.9326,0.9443,0.9560,0.9677,0.9795,0.9912,0.9912,0.9795,0.9677,0.9560,0.9443,0.9326,0.9208,0.9091]
  "2": [1.0000,0.9091,0.9208,0.9326,0.9443,0.9560,0.9677,0.9795,0.9912,0.9912,0.9795,0.9677,0.9560,0.9443,0.9326,0.9208,0.9091]
  "3": [1.0000,0.9091,0.9208,0.9326,0.9443,0.9560,0.9677,0.9795,0.9912,0.9912,0.9795,0.9677,0.9560,0.9443,0.9326,0.9208,0.9091]
  "4": [1.0000,0.9091,0.9208,0.9326,0.9443,0.9560,0.9677,0.9795,0.9912,0.9912,0.9795,0.9677,0.9560,0.9443,0.9326,0.9208,0.9091]
  "5": [1.0000,0.9091,0.9208,0.9326,0.9443,0.9560,0.9677,0.9795,0.9912,0.9912,0.9795,0.9677,0.9560,0.9443,0.9326,0.9208,0.9091]
  "6": [1.0000,0.9091,0.9208,0.9326,0.9443,0.9560,0.9677,0.9795,0.9912,0.9912,0.9795,0.9677,0.9560,0.9443,0.9326,0.9208,0.9091]
  "7": [1.0000,0.9091,0.9208,0.9326,0.9443,0.9560,0.9677,0.9795,0.9912,0.9912,0.9795,0.9677,0.9560,0.9443,0.9326,0.9208,0.9091]
  "8": [1.0000,0.9091,0.9208,0.9326,0.9443,0.9560,0.9677,0.9795,0.9912,0.9912,0.9795,0.9677,0.9560,0.9443,0.9326,0.9208,0.9091]
