# gte-corvette-c8r-2023
--- LMP3 Cleanup & 2026 CarClass Fixes ---
  captured: 2026-06-13 15:17
  "R": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]
  "N": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]
  "1": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]
  "2": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]
  "3": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]
  "4": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]
  "5": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]
  "6": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]
  "7": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]
  "8": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]

  "R": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
  "N": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
  "1": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
  "2": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
  "3": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
  "4": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
  "5": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
  "6": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
  "7": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
  "8": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]

--- baseline ---
  captured: 2026-05-31 11:53
  "R": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]
  "N": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]
  "1": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]
  "2": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]
  "3": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]
  "4": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]
  "5": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]
  "6": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]
  "7": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]
  "8": [7110,5955,6070,0,6186,6300,6420,6530,6650,6765,0,6880,7000]

  "R": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
  "N": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
  "1": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
  "2": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
  "3": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
  "4": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
  "5": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
  "6": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
  "7": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
  "8": [1.0000,0.8376,0.8537,0.0000,0.8700,0.8861,0.9030,0.9184,0.9353,0.9515,0.0000,0.9677,0.9845]
