# hyper-bmw-m-hybrid-2025
--- LMP3 Cleanup & 2026 CarClass Fixes ---
  captured: 2026-06-13 15:17
  "R": [7635,6600,6600,6800,6800,7015,7222,7428,7428,7428,7222,7015,6800,6800,6600,6600]
  "N": [7635,6600,6600,6800,6800,7015,7222,7428,7428,7428,7222,7015,6800,6800,6600,6600]
  "1": [7635,6600,6600,6800,6800,7015,7222,7428,7428,7428,7222,7015,6800,6800,6600,6600]
  "2": [7635,6600,6600,6800,6800,7015,7222,7428,7428,7428,7222,7015,6800,6800,6600,6600]
  "3": [7635,6600,6600,6800,6800,7015,7222,7428,7428,7428,7222,7015,6800,6800,6600,6600]
  "4": [7635,6600,6600,6800,6800,7015,7222,7428,7428,7428,7222,7015,6800,6800,6600,6600]
  "5": [7635,6600,6600,6800,6800,7015,7222,7428,7428,7428,7222,7015,6800,6800,6600,6600]
  "6": [7635,6600,6600,6800,6800,7015,7222,7428,7428,7428,7222,7015,6800,6800,6600,6600]
  "7": [7635,6600,6600,6800,6800,7015,7222,7428,7428,7428,7222,7015,6800,6800,6600,6600]
  "8": [7635,6600,6600,6800,6800,7015,7222,7428,7428,7428,7222,7015,6800,6800,6600,6600]

  "R": [1.0000,0.8644,0.8644,0.8906,0.8906,0.9188,0.9459,0.9729,0.9729,0.9729,0.9459,0.9188,0.8906,0.8906,0.8644,0.8644]
  "N": [1.0000,0.8644,0.8644,0.8906,0.8906,0.9188,0.9459,0.9729,0.9729,0.9729,0.9459,0.9188,0.8906,0.8906,0.8644,0.8644]
  "1": [1.0000,0.8644,0.8644,0.8906,0.8906,0.9188,0.9459,0.9729,0.9729,0.9729,0.9459,0.9188,0.8906,0.8906,0.8644,0.8644]
  "2": [1.0000,0.8644,0.8644,0.8906,0.8906,0.9188,0.9459,0.9729,0.9729,0.9729,0.9459,0.9188,0.8906,0.8906,0.8644,0.8644]
  "3": [1.0000,0.8644,0.8644,0.8906,0.8906,0.9188,0.9459,0.9729,0.9729,0.9729,0.9459,0.9188,0.8906,0.8906,0.8644,0.8644]
  "4": [1.0000,0.8644,0.8644,0.8906,0.8906,0.9188,0.9459,0.9729,0.9729,0.9729,0.9459,0.9188,0.8906,0.8906,0.8644,0.8644]
  "5": [1.0000,0.8644,0.8644,0.8906,0.8906,0.9188,0.9459,0.9729,0.9729,0.9729,0.9459,0.9188,0.8906,0.8906,0.8644,0.8644]
  "6": [1.0000,0.8644,0.8644,0.8906,0.8906,0.9188,0.9459,0.9729,0.9729,0.9729,0.9459,0.9188,0.8906,0.8906,0.8644,0.8644]
  "7": [1.0000,0.8644,0.8644,0.8906,0.8906,0.9188,0.9459,0.9729,0.9729,0.9729,0.9459,0.9188,0.8906,0.8906,0.8644,0.8644]
  "8": [1.0000,0.8644,0.8644,0.8906,0.8906,0.9188,0.9459,0.9729,0.9729,0.9729,0.9459,0.9188,0.8906,0.8906,0.8644,0.8644]
