# hyper-porsche-963-2024
--- LMP3 Cleanup & 2026 CarClass Fixes ---
  captured: 2026-06-13 15:17
  "R": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]
  "N": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]
  "1": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]
  "2": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]
  "3": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]
  "4": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]
  "5": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]
  "6": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]
  "7": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]
  "8": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]

  "R": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
  "N": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
  "1": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
  "2": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
  "3": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
  "4": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
  "5": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
  "6": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
  "7": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
  "8": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]

--- baseline ---
  captured: 2026-05-31 11:53
  "R": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]
  "N": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]
  "1": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]
  "2": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]
  "3": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]
  "4": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]
  "5": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]
  "6": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]
  "7": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]
  "8": [7975,6680,6940,7200,7455,7720,7720,7455,7200,6940,6680]

  "R": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
  "N": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
  "1": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
  "2": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
  "3": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
  "4": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
  "5": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
  "6": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
  "7": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
  "8": [1.0000,0.8376,0.8702,0.9028,0.9348,0.9680,0.9680,0.9348,0.9028,0.8702,0.8376]
