# lmp2-elms-oreca-07-elms-2025
--- LMP3 Cleanup & 2026 CarClass Fixes ---
  captured: 2026-06-13 15:17
  "R": [8585,6800,7000,7200,7400,7600,7800,7990,8190,8390,8585]
  "N": [8585,6800,7000,7200,7400,7600,7800,7990,8190,8390,8585]
  "1": [8585,6800,7000,7200,7400,7600,7800,7990,8190,8390,8585]
  "2": [8585,6800,7000,7200,7400,7600,7800,7990,8190,8390,8585]
  "3": [8585,6800,7000,7200,7400,7600,7800,7990,8190,8390,8585]
  "4": [8585,6800,7000,7200,7400,7600,7800,7990,8190,8390,8585]
  "5": [8585,6800,7000,7200,7400,7600,7800,7990,8190,8390,8585]
  "6": [8585,6800,7000,7200,7400,7600,7800,7990,8190,8390,8585]

  "R": [1.0000,0.7921,0.8154,0.8387,0.8620,0.8853,0.9086,0.9307,0.9540,0.9773,1.0000]
  "N": [1.0000,0.7921,0.8154,0.8387,0.8620,0.8853,0.9086,0.9307,0.9540,0.9773,1.0000]
  "1": [1.0000,0.7921,0.8154,0.8387,0.8620,0.8853,0.9086,0.9307,0.9540,0.9773,1.0000]
  "2": [1.0000,0.7921,0.8154,0.8387,0.8620,0.8853,0.9086,0.9307,0.9540,0.9773,1.0000]
  "3": [1.0000,0.7921,0.8154,0.8387,0.8620,0.8853,0.9086,0.9307,0.9540,0.9773,1.0000]
  "4": [1.0000,0.7921,0.8154,0.8387,0.8620,0.8853,0.9086,0.9307,0.9540,0.9773,1.0000]
  "5": [1.0000,0.7921,0.8154,0.8387,0.8620,0.8853,0.9086,0.9307,0.9540,0.9773,1.0000]
  "6": [1.0000,0.7921,0.8154,0.8387,0.8620,0.8853,0.9086,0.9307,0.9540,0.9773,1.0000]

--- baseline ---
  captured: 2026-05-31 11:53
  "R": [8585,6800,7000,7200,7400,7600,7800,7990,8190,8390,8585]
  "N": [8585,6800,7000,7200,7400,7600,7800,7990,8190,8390,8585]
  "1": [8585,6800,7000,7200,7400,7600,7800,7990,8190,8390,8585]
  "2": [8585,6800,7000,7200,7400,7600,7800,7990,8190,8390,8585]
  "3": [8585,6800,7000,7200,7400,7600,7800,7990,8190,8390,8585]
  "4": [8585,6800,7000,7200,7400,7600,7800,7990,8190,8390,8585]
  "5": [8585,6800,7000,7200,7400,7600,7800,7990,8190,8390,8585]
  "6": [8585,6800,7000,7200,7400,7600,7800,7990,8190,8390,8585]

  "R": [1.0000,0.7921,0.8154,0.8387,0.8620,0.8853,0.9086,0.9307,0.9540,0.9773,1.0000]
  "N": [1.0000,0.7921,0.8154,0.8387,0.8620,0.8853,0.9086,0.9307,0.9540,0.9773,1.0000]
  "1": [1.0000,0.7921,0.8154,0.8387,0.8620,0.8853,0.9086,0.9307,0.9540,0.9773,1.0000]
  "2": [1.0000,0.7921,0.8154,0.8387,0.8620,0.8853,0.9086,0.9307,0.9540,0.9773,1.0000]
  "3": [1.0000,0.7921,0.8154,0.8387,0.8620,0.8853,0.9086,0.9307,0.9540,0.9773,1.0000]
  "4": [1.0000,0.7921,0.8154,0.8387,0.8620,0.8853,0.9086,0.9307,0.9540,0.9773,1.0000]
  "5": [1.0000,0.7921,0.8154,0.8387,0.8620,0.8853,0.9086,0.9307,0.9540,0.9773,1.0000]
  "6": [1.0000,0.7921,0.8154,0.8387,0.8620,0.8853,0.9086,0.9307,0.9540,0.9773,1.0000]
