# lmp3
--- baseline ---
  captured: 2026-05-31 11:53
  "R": [6545,6060,6060,6180,6300,6420,6420,6300,6180,6060,6060]
  "N": [6545,6060,6060,6180,6300,6420,6420,6300,6180,6060,6060]
  "1": [6545,6060,6060,6180,6300,6420,6420,6300,6180,6060,6060]
  "2": [6545,6060,6060,6180,6300,6420,6420,6300,6180,6060,6060]
  "3": [6545,6060,6060,6180,6300,6420,6420,6300,6180,6060,6060]
  "4": [6545,6060,6060,6180,6300,6420,6420,6300,6180,6060,6060]
  "5": [6545,6060,6060,6180,6300,6420,6420,6300,6180,6060,6060]
  "6": [6545,6060,6060,6180,6300,6420,6420,6300,6180,6060,6060]

  "R": [1.0000,0.9259,0.9259,0.9442,0.9626,0.9809,0.9809,0.9626,0.9442,0.9259,0.9259]
  "N": [1.0000,0.9259,0.9259,0.9442,0.9626,0.9809,0.9809,0.9626,0.9442,0.9259,0.9259]
  "1": [1.0000,0.9259,0.9259,0.9442,0.9626,0.9809,0.9809,0.9626,0.9442,0.9259,0.9259]
  "2": [1.0000,0.9259,0.9259,0.9442,0.9626,0.9809,0.9809,0.9626,0.9442,0.9259,0.9259]
  "3": [1.0000,0.9259,0.9259,0.9442,0.9626,0.9809,0.9809,0.9626,0.9442,0.9259,0.9259]
  "4": [1.0000,0.9259,0.9259,0.9442,0.9626,0.9809,0.9809,0.9626,0.9442,0.9259,0.9259]
  "5": [1.0000,0.9259,0.9259,0.9442,0.9626,0.9809,0.9809,0.9626,0.9442,0.9259,0.9259]
  "6": [1.0000,0.9259,0.9259,0.9442,0.9626,0.9809,0.9809,0.9626,0.9442,0.9259,0.9259]
