# hyper-toyota-gr010-2023
--- baseline ---
  captured: 2026-05-31 11:53
  "R": [8150,6750,6850,6950,7050,7150,7250,7350,7450,7550,7650,7850,7850,7850,7850,7850]
  "N": [8150,6750,6850,6950,7050,7150,7250,7350,7450,7550,7650,7850,7850,7850,7850,7850]
  "1": [8150,6750,6850,6950,7050,7150,7250,7350,7450,7550,7650,7850,7850,7850,7850,7850]
  "2": [8150,6750,6850,6950,7050,7150,7250,7350,7450,7550,7650,7850,7850,7850,7850,7850]
  "3": [8150,6750,6850,6950,7050,7150,7250,7350,7450,7550,7650,7850,7850,7850,7850,7850]
  "4": [8150,6750,6850,6950,7050,7150,7250,7350,7450,7550,7650,7850,7850,7850,7850,7850]
  "5": [8150,6750,6850,6950,7050,7150,7250,7350,7450,7550,7650,7850,7850,7850,7850,7850]
  "6": [8150,6750,6850,6950,7050,7150,7250,7350,7450,7550,7650,7850,7850,7850,7850,7850]
  "7": [8150,6750,6850,6950,7050,7150,7250,7350,7450,7550,7650,7850,7850,7850,7850,7850]
  "8": [8150,6750,6850,6950,7050,7150,7250,7350,7450,7550,7650,7850,7850,7850,7850,7850]

  "R": [1.0000,0.8282,0.8405,0.8528,0.8650,0.8773,0.8896,0.9018,0.9141,0.9264,0.9387,0.9632,0.9632,0.9632,0.9632,0.9632]
  "N": [1.0000,0.8282,0.8405,0.8528,0.8650,0.8773,0.8896,0.9018,0.9141,0.9264,0.9387,0.9632,0.9632,0.9632,0.9632,0.9632]
  "1": [1.0000,0.8282,0.8405,0.8528,0.8650,0.8773,0.8896,0.9018,0.9141,0.9264,0.9387,0.9632,0.9632,0.9632,0.9632,0.9632]
  "2": [1.0000,0.8282,0.8405,0.8528,0.8650,0.8773,0.8896,0.9018,0.9141,0.9264,0.9387,0.9632,0.9632,0.9632,0.9632,0.9632]
  "3": [1.0000,0.8282,0.8405,0.8528,0.8650,0.8773,0.8896,0.9018,0.9141,0.9264,0.9387,0.9632,0.9632,0.9632,0.9632,0.9632]
  "4": [1.0000,0.8282,0.8405,0.8528,0.8650,0.8773,0.8896,0.9018,0.9141,0.9264,0.9387,0.9632,0.9632,0.9632,0.9632,0.9632]
  "5": [1.0000,0.8282,0.8405,0.8528,0.8650,0.8773,0.8896,0.9018,0.9141,0.9264,0.9387,0.9632,0.9632,0.9632,0.9632,0.9632]
  "6": [1.0000,0.8282,0.8405,0.8528,0.8650,0.8773,0.8896,0.9018,0.9141,0.9264,0.9387,0.9632,0.9632,0.9632,0.9632,0.9632]
  "7": [1.0000,0.8282,0.8405,0.8528,0.8650,0.8773,0.8896,0.9018,0.9141,0.9264,0.9387,0.9632,0.9632,0.9632,0.9632,0.9632]
  "8": [1.0000,0.8282,0.8405,0.8528,0.8650,0.8773,0.8896,0.9018,0.9141,0.9264,0.9387,0.9632,0.9632,0.9632,0.9632,0.9632]
