# gt3-ferrari-296-2024
--- baseline ---
  captured: 2026-05-31 11:53
  "R": [7260,6745,6830,6915,7000,7085,7170]
  "N": [7260,6745,6830,6915,7000,7085,7170]
  "1": [7260,6745,6830,6915,7000,7085,7170]
  "2": [7260,6745,6830,6915,7000,7085,7170]
  "3": [7260,6745,6830,6915,7000,7085,7170]
  "4": [7260,6745,6830,6915,7000,7085,7170]
  "5": [7260,6745,6830,6915,7000,7085,7170]
  "6": [7260,6745,6830,6915,7000,7085,7170]
  "7": [7260,6745,6830,6915,7000,7085,7170]
  "8": [7260,6745,6830,6915,7000,7085,7170]

  "R": [1.0000,0.9291,0.9408,0.9525,0.9642,0.9759,0.9876]
  "N": [1.0000,0.9291,0.9408,0.9525,0.9642,0.9759,0.9876]
  "1": [1.0000,0.9291,0.9408,0.9525,0.9642,0.9759,0.9876]
  "2": [1.0000,0.9291,0.9408,0.9525,0.9642,0.9759,0.9876]
  "3": [1.0000,0.9291,0.9408,0.9525,0.9642,0.9759,0.9876]
  "4": [1.0000,0.9291,0.9408,0.9525,0.9642,0.9759,0.9876]
  "5": [1.0000,0.9291,0.9408,0.9525,0.9642,0.9759,0.9876]
  "6": [1.0000,0.9291,0.9408,0.9525,0.9642,0.9759,0.9876]
  "7": [1.0000,0.9291,0.9408,0.9525,0.9642,0.9759,0.9876]
  "8": [1.0000,0.9291,0.9408,0.9525,0.9642,0.9759,0.9876]
