# gte-ferrari-488-2023
--- LMP3 Cleanup & 2026 CarClass Fixes ---
  captured: 2026-06-13 15:17
  "R": [6940,4685,5065,5445,5815,6186,6563]
  "N": [6940,4685,5065,5445,5815,6186,6563]
  "1": [6940,4685,5065,5445,5815,6186,6563]
  "2": [6940,4685,5065,5445,5815,6186,6563]
  "3": [6940,4685,5065,5445,5815,6186,6563]
  "4": [6940,4685,5065,5445,5815,6186,6563]
  "5": [6940,4685,5065,5445,5815,6186,6563]
  "6": [6940,4685,5065,5445,5815,6186,6563]
  "7": [6940,4685,5065,5445,5815,6186,6563]
  "8": [6940,4685,5065,5445,5815,6186,6563]

  "R": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
  "N": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
  "1": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
  "2": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
  "3": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
  "4": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
  "5": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
  "6": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
  "7": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
  "8": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]

--- baseline ---
  captured: 2026-05-31 11:53
  "R": [6940,4685,5065,5445,5815,6186,6563]
  "N": [6940,4685,5065,5445,5815,6186,6563]
  "1": [6940,4685,5065,5445,5815,6186,6563]
  "2": [6940,4685,5065,5445,5815,6186,6563]
  "3": [6940,4685,5065,5445,5815,6186,6563]
  "4": [6940,4685,5065,5445,5815,6186,6563]
  "5": [6940,4685,5065,5445,5815,6186,6563]
  "6": [6940,4685,5065,5445,5815,6186,6563]
  "7": [6940,4685,5065,5445,5815,6186,6563]
  "8": [6940,4685,5065,5445,5815,6186,6563]

  "R": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
  "N": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
  "1": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
  "2": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
  "3": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
  "4": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
  "5": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
  "6": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
  "7": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
  "8": [1.0000,0.6751,0.7298,0.7846,0.8379,0.8914,0.9457]
