# gt3-mclaren-2024
--- LMP3 Cleanup & 2026 CarClass Fixes ---
  captured: 2026-06-13 15:17
  "R": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]
  "N": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]
  "1": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]
  "2": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]
  "3": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]
  "4": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]
  "5": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]
  "6": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]
  "7": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]
  "8": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]

  "R": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
  "N": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
  "1": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
  "2": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
  "3": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
  "4": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
  "5": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
  "6": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
  "7": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
  "8": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]

--- baseline ---
  captured: 2026-05-31 11:53
  "R": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]
  "N": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]
  "1": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]
  "2": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]
  "3": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]
  "4": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]
  "5": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]
  "6": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]
  "7": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]
  "8": [7296,6830,6830,0,6946,6946,7062,7062,7180,7180,0,7296,7296]

  "R": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
  "N": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
  "1": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
  "2": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
  "3": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
  "4": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
  "5": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
  "6": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
  "7": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
  "8": [1.0000,0.9361,0.9361,0.0000,0.9520,0.9520,0.9679,0.9679,0.9841,0.9841,0.0000,1.0000,1.0000]
